Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;20;Abitazioni civili;OTTIMO; ;10500;14000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;20;Abitazioni civili;NORMALE;P;8000;10400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;19;Abitazioni signorili;OTTIMO;P;12500;19000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;19;Abitazioni signorili;NORMALE; ;8500;12000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;13;Box;NORMALE;P;3800;5100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;9;Magazzini;NORMALE;P;1600;2400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;5;Negozi;OTTIMO; ;10100;17000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;5;Negozi;NORMALE;P;6800;10000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;6;Uffici;OTTIMO;P;6000;10000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;18;Uffici strutturati;OTTIMO;P;6500;10500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;10;Laboratori;NORMALE;P;2600;3500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;20;Abitazioni civili;OTTIMO; ;9300;12000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;20;Abitazioni civili;NORMALE;P;6500;9200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;19;Abitazioni signorili;OTTIMO;P;9600;14000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;19;Abitazioni signorili;NORMALE; ;7500;9500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;13;Box;NORMALE;P;3700;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;9;Magazzini;NORMALE;P;1500;2100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;5;Negozi;OTTIMO; ;7100;8800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;5;Negozi;NORMALE;P;3700;7000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;6;Uffici;OTTIMO;P;4500;8000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;18;Uffici strutturati;OTTIMO;P;5300;8000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;10;Laboratori;NORMALE;P;2300;3000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;20;Abitazioni civili;OTTIMO; ;7500;10500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;20;Abitazioni civili;NORMALE;P;5000;7400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;19;Abitazioni signorili;OTTIMO;P;9500;13000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;19;Abitazioni signorili;NORMALE; ;8000;9400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;13;Box;NORMALE;P;2500;4000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;9;Magazzini;NORMALE;P;1100;1600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;5;Negozi;OTTIMO; ;5600;9000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;5;Negozi;NORMALE;P;4000;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;6;Uffici;OTTIMO;P;4200;6700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;18;Uffici strutturati;OTTIMO;P;4500;7200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;10;Laboratori;NORMALE;P;1600;2300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;20;Abitazioni civili;NORMALE;P;6000;8500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;20;Abitazioni civili;OTTIMO; ;8600;12500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;13;Box;NORMALE;P;3300;4800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;9;Magazzini;NORMALE;P;1200;1600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;5;Negozi;NORMALE;P;4800;7700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;5;Negozi;OTTIMO; ;7800;13000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;6;Uffici;OTTIMO;P;5000;7500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;18;Uffici strutturati;OTTIMO;P;5500;8500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;10;Laboratori;NORMALE;P;2100;2850;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;20;Abitazioni civili;NORMALE;P;6000;8600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;20;Abitazioni civili;OTTIMO; ;8700;11000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;19;Abitazioni signorili;OTTIMO;P;11600;15000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;19;Abitazioni signorili;NORMALE; ;9000;11500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;13;Box;NORMALE;P;2800;4500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;9;Magazzini;NORMALE;P;950;1450;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;5;Negozi;OTTIMO;P;6300;8500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;5;Negozi;NORMALE; ;3700;6200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;6;Uffici;OTTIMO;P;4800;7700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;18;Uffici strutturati;OTTIMO;P;5300;9000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;10;Laboratori;NORMALE;P;1300;2050;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;20;Abitazioni civili;NORMALE;P;5200;7300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;20;Abitazioni civili;OTTIMO; ;7400;9700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;13;Box;NORMALE;P;2850;4000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;9;Magazzini;NORMALE;P;1000;1300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;5;Negozi;NORMALE;P;3500;4900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;5;Negozi;OTTIMO; ;5000;8000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;6;Uffici;OTTIMO;P;3300;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;18;Uffici strutturati;OTTIMO;P;3700;5700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;10;Laboratori;NORMALE;P;1100;1800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;20;Abitazioni civili;NORMALE;P;4900;7000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;20;Abitazioni civili;OTTIMO; ;7100;9000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;13;Box;NORMALE;P;2300;3600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;9;Magazzini;NORMALE;P;650;1000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;5;Negozi;NORMALE;P;3300;4600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;5;Negozi;OTTIMO; ;4700;7000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;6;Uffici;OTTIMO;P;3200;5000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;18;Uffici strutturati;OTTIMO;P;3500;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;10;Laboratori;NORMALE;P;1150;1700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;20;Abitazioni civili;OTTIMO; ;7200;9500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;20;Abitazioni civili;NORMALE;P;5200;7100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;13;Box;NORMALE;P;2700;4000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;9;Magazzini;NORMALE;P;700;1000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;5;Negozi;NORMALE; ;3800;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;5;Negozi;OTTIMO;P;5600;9000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;6;Uffici;OTTIMO;P;4500;6000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;18;Uffici strutturati;OTTIMO;P;4600;6500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;10;Laboratori;NORMALE;P;1600;2300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;20;Abitazioni civili;OTTIMO;P;9000;13000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;19;Abitazioni signorili;OTTIMO;P;9300;12500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;13;Box;NORMALE;P;2700;3700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;20;Abitazioni civili;NORMALE; ;4500;6300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;20;Abitazioni civili;OTTIMO;P;9800;14500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;19;Abitazioni signorili;OTTIMO;P;12000;17500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;13;Box;NORMALE;P;2500;3600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;18;Uffici strutturati;OTTIMO;P;6400;7800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;20;Abitazioni civili;NORMALE;P;3800;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;20;Abitazioni civili;OTTIMO; ;5600;7500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;13;Box;NORMALE;P;1600;2800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;1;Ville e Villini;NORMALE;P;3500;5400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;1;Ville e Villini;OTTIMO; ;5500;6300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;9;Magazzini;NORMALE;P;800;1100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;5;Negozi;OTTIMO; ;2700;4600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;5;Negozi;NORMALE;P;2100;2600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;6;Uffici;OTTIMO;P;2700;4300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;18;Uffici strutturati;OTTIMO;P;3500;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;MI00003669;10;Laboratori;NORMALE;P;1000;1400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;20;Abitazioni civili;OTTIMO; ;6000;8200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;20;Abitazioni civili;NORMALE;P;4200;5900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;13;Box;NORMALE;P;2000;3200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;9;Magazzini;NORMALE;P;650;1100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;5;Negozi;NORMALE;P;2300;4500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;5;Negozi;OTTIMO; ;4600;6000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;6;Uffici;OTTIMO;P;2400;4300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;18;Uffici strutturati;OTTIMO;P;2900;4600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;MI00004772;10;Laboratori;NORMALE;P;1200;1800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;20;Abitazioni civili;NORMALE;P;5500;7000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;20;Abitazioni civili;OTTIMO; ;7100;10000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;19;Abitazioni signorili;OTTIMO;P;9600;12000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;19;Abitazioni signorili;NORMALE; ;7000;9500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;13;Box;NORMALE;P;2800;4000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;1;Ville e Villini;OTTIMO;P;6000;8200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;9;Magazzini;NORMALE;P;750;1200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;5;Negozi;OTTIMO; ;4600;6500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;5;Negozi;NORMALE;P;2800;4500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;6;Uffici;OTTIMO;P;3800;5700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;18;Uffici strutturati;OTTIMO;P;4100;6000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;MI00004773;10;Laboratori;NORMALE;P;950;1400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;20;Abitazioni civili;NORMALE;P;4500;5700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;20;Abitazioni civili;OTTIMO; ;5800;8500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;13;Box;NORMALE;P;2200;3300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;9;Magazzini;NORMALE;P;800;1400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;5;Negozi;NORMALE; ;2800;3900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;5;Negozi;OTTIMO;P;4000;6000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;6;Uffici;OTTIMO;P;2350;3900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;18;Uffici strutturati;OTTIMO;P;2650;4200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;MI00004774;10;Laboratori;NORMALE;P;1000;1500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;20;Abitazioni civili;NORMALE;P;4200;5900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;20;Abitazioni civili;OTTIMO; ;6000;7700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;13;Box;NORMALE;P;1600;2800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;9;Magazzini;NORMALE;P;750;1100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;5;Negozi;NORMALE;P;2500;3500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;5;Negozi;OTTIMO; ;3600;4700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;6;Uffici;OTTIMO;P;2600;3500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;18;Uffici strutturati;OTTIMO;P;2800;3800;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;MI00004775;10;Laboratori;NORMALE;P;950;1550;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;20;Abitazioni civili;OTTIMO; ;6300;8700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;20;Abitazioni civili;NORMALE;P;4200;6200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;13;Box;NORMALE;P;2100;3500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;9;Magazzini;NORMALE;P;750;1100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;5;Negozi;NORMALE;P;2600;3600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;5;Negozi;OTTIMO; ;3700;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;6;Uffici;OTTIMO;P;3000;4900;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;18;Uffici strutturati;OTTIMO;P;3500;5500;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;MI00004776;10;Laboratori;NORMALE;P;1000;1400;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;20;Abitazioni civili;OTTIMO; ;4300;5100;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;20;Abitazioni civili;NORMALE;P;2800;4200;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;21;Abitazioni di tipo economico;NORMALE;P;2250;2700;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;21;Abitazioni di tipo economico;OTTIMO; ;2800;3300;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;13;Box;NORMALE;P;1350;2250;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;9;Magazzini;NORMALE;P;550;850;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;5;Negozi;NORMALE;P;1800;2600;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;6;Uffici;OTTIMO;P;1750;2650;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;18;Uffici strutturati;OTTIMO;P;1950;3000;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;8;Capannoni industriali;NORMALE;P;550;950;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;MI00000317;10;Laboratori;NORMALE;P;650;1100;L
