Data risposta;ID impegno;Tipo utenza;Quale dichiarazione Tari hai presentato?;Nel complesso quanto è stato facile utilizzare questo servizio;Potresti specificare in quale punto hai riscontrato maggiori di;Nel complesso quanto sei soddisfatto del servizio online per la;Parleresti bene di questo servizio ad altre persone?
2024-01-03;00E1FFB4-F3A9-EE11-BE37-6045BD8C531D;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-09-12;00E3E2B9-5371-EF11-A670-6045BD9E05FD;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-08-12;010E18E3-6F58-EF11-BFE3-000D3A3A3B41;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-06-07;01118C22-BC24-EF11-840A-00224884BDAC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-01-19;011293B3-F2B6-EE11-A569-6045BD8C54CF;Utenze domestiche;Dichiarazione di occupazione;3;;4;8
2024-10-18;011B3BB7-578D-EF11-AC21-000D3AA8901E;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-11-13;012A4896-A3A1-EF11-8A69-6045BD8F4093;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-27;014D0E84-DBAC-EF11-B8E8-000D3A22DAE6;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;4;;4;10
2024-01-31;015E710A-4DC0-EE11-9079-6045BD8C5AA8;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-12-09;016E4CED-1DB6-EF11-B8E8-000D3A4BD4DA;Utenze non domestiche;Dichiarazione di cessazione;4;;3;8
2024-10-31;017329F3-5F97-EF11-8A6A-6045BDF3983D;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-01-12;01AC18F0-5BB1-EE11-A569-000D3A243232;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;0
2024-06-29;01AD2E7B-1F36-EF11-8409-000D3AC294CC;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-13;01B99E88-B4F9-EE11-A1FF-6045BD878FE8;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-12-28;01C4EC2C-4AC5-EF11-B8E8-000D3AB81EEB;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-06-27;01EE6AC2-C334-EF11-8409-002248852510;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-01-12;01F6E3BD-43B1-EE11-A569-6045BD8C5293;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-22;01F76FDC-F3A8-EF11-B8E8-6045BD958AA9;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-05-25;0203EFB7-891A-EF11-840A-6045BD9C845E;Utenze domestiche;Dichiarazione di occupazione;1;ricerca delle informazioni sul servizio;1;1
2024-09-08;021074C7-EF6D-EF11-A671-6045BD9C303E;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;4;;4;10
2024-08-28;0213DB9A-2465-EF11-BFE3-6045BD88596B;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-07-12;02233B42-4740-EF11-8409-6045BD90C918;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-03-18;02247D37-2BE5-EE11-904D-000D3AAE2F5C;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-02;0225E00A-F0F0-EE11-904C-6045BD9F83BF;Utenze domestiche;Dichiarazione di occupazione;1;Altro;1;0
2024-04-21;0255666A-1500-EF11-9F8A-6045BD878FE8;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-02-22;025B22AB-62D1-EE11-9079-6045BD8C5FDB;Utenze domestiche;Dichiarazione di occupazione;3;;3;9
2024-12-22;027D7A4F-9FC0-EF11-B8E9-000D3A65401A;Utenze domestiche;Dichiarazione di occupazione;3;;3;7
2024-07-22;02ADBA0C-1548-EF11-BFE2-000D3AAC8041;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;4;;4;10
2024-05-22;02C4848C-4618-EF11-9F89-000D3AA8114F;Utenze domestiche;Dichiarazione di occupazione;3;;3;5
2024-01-15;02CA3ECF-8CB3-EE11-A569-6045BD8C5AA8;Utenze domestiche;Dichiarazione di occupazione;2;linguaggio utilizzato;3;7
2024-05-12;02DE781A-B010-EF11-9F8A-6045BDF5A821;Utenze domestiche;Dichiarazione di cessazione;3;;3;6
2024-07-22;02F34DFF-7348-EF11-BFE2-000D3ABB5D16;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-05-26;032E28E9-591B-EF11-840B-000D3A291F44;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-06-12;0338F0B9-9928-EF11-840A-000D3A25FA21;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-03-31;03393615-65EF-EE11-904B-000D3A272643;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-06-12;0345923C-E628-EF11-840A-6045BD8F5EEF;Utenze domestiche;Dichiarazione di occupazione;3;;3;6
2024-12-04;034B1AAD-08B2-EF11-B8E8-6045BD8D5E7C;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-05-10;03B30889-C30E-EF11-9F89-6045BD93C683;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-03-06;03CE760E-B0DB-EE11-904C-0022488261A6;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-09-16;03D6BAEF-3874-EF11-A670-6045BDF54556;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-15;03D97B3F-52A3-EF11-8A69-6045BD8B7782;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-01-11;04126B77-8DB0-EE11-A569-6045BD8C59FF;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-10-21;0413B8BE-F08F-EF11-8A6A-00224883261B;Utenze domestiche;Dichiarazione di cessazione;4;;4;8
2024-10-03;04149EF5-AD81-EF11-AC21-000D3A2EEDEE;Utenze domestiche;Dichiarazione di cessazione;3;;4;9
2024-09-19;0434CD39-6F76-EF11-A670-000D3A248975;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-02-26;043EA8C1-B7D4-EE11-904D-6045BD8C594F;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-03-03;044173F3-7ED9-EE11-904C-6045BD8C54CB;Utenze domestiche;Dichiarazione di cessazione;3;;3;6
2024-07-21;044662BC-5E47-EF11-BFE2-6045BD86FA8D;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-12-10;044BB959-13B7-EF11-B8E8-6045BD9A0DAC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-01-15;044C5049-A6B3-EE11-A569-6045BD8C592D;Utenze domestiche;Dichiarazione di occupazione;1;Altro;1;1
2024-06-10;0462CE30-0E27-EF11-840A-002248846292;Utenze domestiche;Dichiarazione di cessazione;1;ricerca delle informazioni sul servizio;1;0
2024-06-27;047B2177-6234-EF11-8409-000D3ABE6CA3;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-25;048CAF5B-537B-EF11-A670-6045BD8D9E2F;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-07-07;049C6CAE-3C3C-EF11-8409-002248896B6D;Utenze domestiche;Dichiarazione di occupazione;2;accesso al servizio (login);3;7
2024-10-29;049F841D-3996-EF11-8A69-6045BD8B7782;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-04-22;04B33B13-E000-EF11-9F8A-6045BD9F83BF;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-12-08;04B760E2-A4B5-EF11-B8E8-6045BD94882C;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-02-26;04C37037-7DD4-EE11-904D-6045BD8C59FF;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-01-11;04C3FFEF-71B0-EE11-A569-6045BD8C58F9;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-06-03;04CB50E0-9D21-EF11-840A-000D3AAA0862;Utenze domestiche;Dichiarazione di cessazione;3;;3;7
2024-02-20;04CE550C-2ED0-EE11-9079-6045BD8C54E2;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-06-11;04EABD1B-F827-EF11-840A-000D3A44E0FB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-06-23;04F23590-4931-EF11-840A-00224884BDAC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-28;04F7CF2C-10D6-EE11-904D-6045BD8C54CF;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-07;050793A0-853C-EF11-8409-002248896B6D;Utenze domestiche;Dichiarazione di occupazione;3;;4;10
2024-06-06;051350A1-DE23-EF11-840A-000D3A4BAC4D;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-18;05146AB6-0945-EF11-A316-000D3A3A3B41;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-05-05;054FDC17-B80A-EF11-9F89-000D3A2B097D;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-01;056265E0-9237-EF11-8409-6045BD8C2393;Utenze domestiche;Dichiarazione di occupazione;4;;3;10
2024-12-12;057A263F-8DB8-EF11-B8E8-6045BD8D5E7C;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-01-13;058416FF-FEB1-EE11-A569-6045BD8C594F;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;3;;3;4
2024-05-31;0584948C-4A1F-EF11-840A-0022488796B9;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-11-27;0584C75E-D7AC-EF11-B8E8-000D3A483E6A;Utenze domestiche;Dichiarazione di cessazione;3;;1;0
2024-02-13;0589DFFB-5DCA-EE11-9079-6045BD8C507A;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-09-13;058C05A2-AF71-EF11-A670-7C1E52514027;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-05-25;0592472E-7A1A-EF11-840A-6045BD9C845E;Utenze non domestiche;Dichiarazione di occupazione;4;;4;10
2024-03-09;059A7D11-25DE-EE11-904C-6045BD878FE8;Utenze domestiche;Dichiarazione di occupazione;3;;4;8
2024-05-24;05DA5D81-9A19-EF11-9F89-000D3A2795B1;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-04-12;0618221B-A5F8-EE11-A1FD-6045BD8C0648;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-19;061A85EE-53CF-EE11-9079-6045BD8C54CB;Utenze domestiche;Dichiarazione di occupazione;3;;3;7
2024-06-21;06356093-F22F-EF11-840A-6045BD8786B1;Utenze domestiche;Dichiarazione di cessazione;4;;4;8
2024-10-20;066B2D20-C78E-EF11-AC20-6045BD970AC8;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-06-08;067FD28F-9325-EF11-840A-6045BD8F5EEF;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-01-09;0685FC65-29AF-EE11-A569-6045BD8C594F;Utenze domestiche;Dichiarazione di cessazione;2;Altro;2;6
2024-01-24;06873EB3-A5BA-EE11-A569-6045BD8C507A;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-08-10;06985ADA-FE56-EF11-BFE3-6045BDF2E761;Utenze domestiche;Dichiarazione di occupazione;3;;3;9
2024-02-22;06A0DCBF-A0D1-EE11-9079-000D3A2BFCCB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-23;06C7427C-6701-EF11-9F89-6045BD93C683;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-05-17;06F164B4-4F14-EF11-9F89-000D3A250068;Utenze domestiche;Dichiarazione di occupazione;2;Altro;4;8
2024-01-04;0704A0CD-DFAA-EE11-BE37-6045BD8C54E2;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-11-27;070631B6-BDAC-EF11-B8E8-7C1E5285D21E;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-21;0716DB44-9F47-EF11-BFE2-000D3AAFE5B5;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;3;;4;10
2024-02-01;072F2445-E8C0-EE11-9079-6045BD8C5AA8;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-11-15;07308E81-2AA3-EF11-8A69-000D3A4A1785;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-06-18;0760F4DE-512D-EF11-840A-6045BD8BB1F6;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-05-31;076417CC-7C1F-EF11-840A-000D3A445838;Utenze domestiche;Dichiarazione di occupazione;3;;2;4
2024-07-30;079152B1-824E-EF11-BFE2-0022488768EE;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-22;079737F0-D078-EF11-A670-6045BD8D9E2F;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-03-25;079A6796-71EA-EE11-A203-000D3A272643;Utenze domestiche;Dichiarazione di occupazione;1;Altro;1;0
2024-10-16;07B7A2FA-948B-EF11-AC20-6045BD8B7782;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-10-16;08037CA7-9F8B-EF11-AC20-000D3A4A1785;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-03-31;0804E8A8-3DEF-EE11-904B-000D3A2E471B;Utenze domestiche;Dichiarazione di occupazione;3;;3;5
2024-03-28;080797C8-10ED-EE11-A204-6045BD8C531D;Utenze domestiche;Dichiarazione di cessazione;3;;3;7
2024-06-03;080CB49F-9F21-EF11-840A-0022487F1C76;Utenze domestiche;Dichiarazione di occupazione;2;linguaggio utilizzato;2;3
2024-12-13;080FB42A-50B9-EF11-B8E8-6045BDF3757F;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-10-31;086725A9-AE97-EF11-8A69-6045BD8F4093;Utenze domestiche;Dichiarazione di cessazione;4;;4;8
2024-06-23;08770289-9C31-EF11-8409-0022487EE305;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;0
2024-10-10;08967C18-1087-EF11-AC20-7C1E52122F9C;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-07-29;08D96437-AA4D-EF11-BFE2-6045BDF2E761;Utenze domestiche;Dichiarazione di occupazione;3;;3;10
2024-12-07;0905DA29-B6B4-EF11-B8E8-6045BD9A0DAC;Utenze domestiche;Dichiarazione di occupazione;2;ricerca delle informazioni sul servizio;2;5
2024-10-31;090A4AB0-9597-EF11-8A69-000D3A4A1785;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-04-28;094BDC17-5505-EF11-9F89-0022487F1C76;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-03;0959FE39-07F2-EE11-904B-0022487F1C76;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-03-25;09AC0877-9DEA-EE11-A203-6045BD93CED5;Utenze domestiche;Dichiarazione di cessazione;3;;4;10
2024-11-26;0A19D070-E1AB-EF11-B8E8-6045BD9F7262;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;1
2024-06-06;0A287593-EA23-EF11-840A-00224884BDAC;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-25;0A332CC3-3D03-EF11-9F8A-6045BDF57BBC;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;1;complessità della procedura;1;4
2024-06-01;0A591130-1220-EF11-840A-6045BD9C845E;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-06-22;0A65D28A-A030-EF11-8409-002248896B6D;Utenze non domestiche;Dichiarazione di cessazione;3;;3;8
2024-02-08;0A777AB4-6AC6-EE11-9079-000D3AC21163;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-12-31;0A866C16-4EC7-EF11-B8E9-000D3ADB074A;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-01-12;0A9A663C-34B1-EE11-A569-6045BD8C54CF;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;1
2024-10-21;0AB88864-938F-EF11-8A6A-00224883261B;Utenze domestiche;Dichiarazione di occupazione;3;;4;9
2024-01-02;0AB9F3A0-78A9-EE11-BE37-6045BD8C594F;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-26;0ACEDC43-CDAB-EF11-B8E8-6045BD97059E;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-08-08;0AD790AB-8855-EF11-BFE3-000D3A2CCC5A;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-06-28;0B57F890-3735-EF11-8409-6045BD873DDF;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-03-03;0B5F4635-51D9-EE11-904C-6045BD8C507A;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-12-28;0B6159C6-1EC5-EF11-B8E8-6045BDDDCAE6;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-05;0B65B5BE-63F3-EE11-904C-6045BDF57BBC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-10-19;0B8C86FB-1C8E-EF11-AC21-00224883261B;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-08-03;0B8E1C68-B651-EF11-BFE3-000D3A3A3B41;Utenze domestiche;Dichiarazione di occupazione;4;;4;8
2024-10-18;0BA50FA3-398D-EF11-AC20-6045BD970AC8;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;4;;4;10
2024-04-08;0BB15DB7-77F5-EE11-A1FD-6045BD9F5DBF;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;2;complessità della procedura;2;5
2024-07-09;0BB95A98-323E-EF11-8409-002248852510;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-03-29;0BC74930-F4ED-EE11-A203-000D3A272643;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-06-17;0BEB8DF6-872C-EF11-840A-6045BD8BB1F6;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-12-31;0BFAC2D8-5FC7-EF11-B8E8-000D3AB81EEB;Utenze domestiche;Dichiarazione di occupazione;3;;4;10
2024-02-25;0BFEE943-CBD3-EE11-9079-6045BD8C5C30;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-26;0BFFAEC6-257C-EF11-AC20-6045BDF4FB0F;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-28;0C18FC8C-70AD-EF11-B8E9-002248859B86;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-22;0C1E86B9-68D1-EE11-9079-000D3A243232;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-12-27;0C2F27AF-61C4-EF11-B8E8-000D3AB8DC57;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-01-11;0C58BD00-84B0-EE11-A569-6045BD8C59FF;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-06-02;0C848ED8-C020-EF11-840A-000D3A24DB07;Utenze domestiche;Dichiarazione di occupazione;2;complessità della procedura;2;4
2024-01-30;0C9A8B30-82BF-EE11-9079-6045BD8C54CB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-01;0CA03A0E-8737-EF11-8409-0022487F8F32;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-09-13;0CAB388E-D471-EF11-A671-6045BD9C303E;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-06-07;0CDAD515-E424-EF11-840A-00224884BDAC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-06-11;0D0A8B91-F427-EF11-840A-7C1E522664C5;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-19;0D23AD99-64FE-EE11-A1FF-6045BDF5A821;Utenze domestiche;Dichiarazione di cessazione;3;;4;8
2024-09-26;0D526E67-EC7B-EF11-AC20-00224883261B;Utenze domestiche;Dichiarazione di cessazione;3;;4;10
2024-10-15;0D66BB0F-E08A-EF11-AC20-7C1E525E9551;Utenze non domestiche;Dichiarazione di occupazione;4;;4;8
2024-03-28;0D6D434B-40ED-EE11-904C-000D3A2E471B;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-03-02;0D70E08D-E4D8-EE11-904C-000D3A26D4A6;Utenze domestiche;Dichiarazione di occupazione;2;Altro;2;4
2024-11-19;0D97555F-7CA6-EF11-B8E8-6045BD97059E;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-10;0DB1D256-3DF7-EE11-A1FE-6045BDF57BBC;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-01-10;0DB79529-4CAF-EE11-A569-6045BD8C5FDB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-11-23;0DCD9D38-D1A9-EF11-B8E8-000D3A22DAE6;Utenze domestiche;Dichiarazione di cessazione;3;;3;8
2024-09-16;0DD8797E-0674-EF11-A671-6045BD92145B;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-05-21;0DDDBEED-8917-EF11-9F89-0022487F1C76;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-01-07;0DE62CC5-5FAD-EE11-A569-6045BD8C54CB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-11-18;0E147796-D3A5-EF11-B8E9-6045BD9DA82C;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;4;;4;10
2024-08-06;0E18D43E-1C54-EF11-BFE3-6045BD9772CB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-04-08;0E1D46EA-E6F5-EE11-A1FE-6045BDF57BBC;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-08-01;0E481379-3650-EF11-BFE2-6045BD9C303E;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-04-22;0E51C17D-9200-EF11-9F8A-6045BD9F83BF;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-11-21;0E793DE9-61A8-EF11-B8E8-7C1E521202FC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-10-13;0E7D1A70-3F89-EF11-AC20-7C1E522799F5;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-14;0E9153D0-B4A2-EF11-8A69-6045BD9F7262;Utenze domestiche;Dichiarazione di cessazione;4;;3;10
2024-01-31;0EC4A851-34C0-EE11-9079-000D3A2BFCCB;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-29;0ECD554F-A64D-EF11-BFE2-000D3A45884E;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-10-10;0ED867D0-E886-EF11-AC20-000D3ABEDF58;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;0
2024-03-20;0EDCC5D9-9FE6-EE11-904D-6045BDF5A821;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-26;0EE5402C-8AD4-EE11-904D-6045BD8C5AA8;Utenze domestiche;Dichiarazione di occupazione;3;;3;7
2024-08-06;0EE56F18-1D54-EF11-BFE3-7C1E52263C91;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-25;0EFDA7E7-7B7B-EF11-A671-6045BD9C303E;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-04-03;0EFE4213-C4F1-EE11-904C-6045BDF5A821;Utenze domestiche;Dichiarazione di occupazione;1;complessità della procedura;1;1
2024-07-10;0F11D1AD-B83E-EF11-840A-00224884BDAC;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-03-06;0F438128-D1DB-EE11-904C-6045BD8C531D;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-22;0F492533-AB78-EF11-A670-6045BD8D9E2F;Utenze domestiche;Dichiarazione di cessazione;4;;4;1
2024-12-02;0F7B27B1-94B0-EF11-B8E9-000D3AA8901E;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-05-21;0F9D320E-5417-EF11-9F89-6045BD9160C8;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-09-04;0F9F281F-B66A-EF11-BFE3-6045BD92145B;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-11-12;0FA6A064-D2A0-EF11-8A69-6045BD8F4093;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-11;0FED5DE4-55A0-EF11-8A69-000D3A4A1785;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-01-31;100CEE8F-40C0-EE11-9079-6045BDF5A821;Utenze domestiche;Dichiarazione di occupazione;2;ricerca delle informazioni sul servizio;2;5
2024-12-31;100FE2F3-9CC7-EF11-B8E9-000D3A65401A;Utenze domestiche;Dichiarazione di cessazione;4;;4;9
2024-01-31;1030EE12-5BC0-EE11-9079-6045BD8C59FF;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-11-14;10374BCB-AEA2-EF11-8A6A-002248859B86;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-08-16;108E8AE8-D75B-EF11-BFE3-000D3ABB5D16;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-02-06;10ADD095-2AC5-EE11-9079-6045BD8C54E2;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-09-27;10AF547F-F87C-EF11-AC20-000D3A2EEDEE;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;3;;3;8
2024-05-14;110C9A22-DD11-EF11-9F89-000D3A2E471B;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-09-13;111E73FD-B971-EF11-A670-6045BD9D74A9;Utenze domestiche;Dichiarazione di occupazione;3;;3;9
2024-01-26;112DEFB1-4EBC-EE11-A569-6045BD8C54E2;Utenze non domestiche;Dichiarazione di cessazione;2;Altro;3;7
2024-03-29;1133C257-16EE-EE11-A1FD-000D3A49BEEF;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-21;11457101-AFD0-EE11-9079-6045BD8C507A;Utenze domestiche;Dichiarazione di occupazione;3;;3;7
