Unità immobiliare;Tipologia;Consistenza;Indirizzo;Municipio;Foglio;Mappale;Subalterno;Tipologia destinazione;Utilizzazione;Ente assegnatario;Protocollo/ Repertorio;Estremi contratto ;Oggetto;Durata anni  contr.;Periodo contratto Dal / al;note;periodo
17;semin. irrig.;;via Arialdo Sant 69;5;686;7;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
18;bosco ceduo;;via Arialdo Sant 69;5;686;23;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
19;appart.;2,5 vani;via Arquà 13;2;236;86;27;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
20;appart.;3 vani;via Arzaga 13;6;426;145;17 (5° PIANO);Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto. ;6;17.07.2020 16.07.2026;;marzo 2026
21;appart.;3 vani;via Arzaga 13;6;426;145;9 (2° PIANO);Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;;;;;;;marzo 2026
22;box;15 mq;via Arzaga 13;6;426;145;22;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;;;;;;;marzo 2026
23;box;15 mq;via Asiago 51 (ex 4);2;146;415;5;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;;;;;;;marzo 2026
24;appart.;2,5 vani;via Baldinucci 13;9;133;78;1;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
25;appart.;5,5 vani;via Baldo degli Ubaldi 8;8;126;378;20;Scopi Sociali;Progettualità finalizzata all’accoglienza e ospitalità temporanea per adulti senza dimora, giovani migranti e rifugiati richiedenti asilo in situazione di grave marginalità. ;Croce Rossa Italiana, Comitato di Milano Via Marcello Pucci, 7 20142 Milano;Repertorio n. 106352;Ag. Entrate MI 1 09/11/2023 serie 3 X 002851;Contratto per la concessione in uso gratuito del lotto n. 3 costituito da n. 4 immobili siti in via Quintosole 31, via Ripa Porta Ticinese 97/a, via Baldo degli Ubaldi 8 e Via Canonica 87, confiscati alla criminalità e trasferiti al patrimonio indisponibile del Comune di Milano. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;07.11.2023 06.11.2027;;marzo 2026
26;appart.;1,5 vani;via Bassano del Grappa 1;2;235;26;17;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
27;locale comm.le;89 mq;via Battaglia Natale 6;2;232;298;3;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;ATOMIC GARDEN SNC DI PARISE A. E GALDANGELO F. Via N. Battaglia 6 Milano;Repertorio n. 104848;Ag. Entrate MI 1 13/04/2017 serie 3 T 007284;Contratto di Locazione Direzione Demanio;6+6;01.04.2017 31.03.2027;;marzo 2026
28;appart.;125 mq;via Belgioioso 2;8;7;120;77;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" finalizzata alla realizzazione del progetto dedicato all’accoglienza e ospitalità temporanea per adulti senza fissa dimora e/o in condizioni di grave marginalità";LA STRADA SOCIETA’ COOPERATIVA SOCIALE (Mandataria) Via G.B. Piazzetta n.2, 20139 Milano, C.F. 10969830156 in Associazione Temporanea di Scopo con ASSOCIAZIONE LA ROTONDA APS Via Merano n. 6,Baranzate (MI) C.F. 97556510150;Repertorio n. 106368;Ag. Entrate MI 1 05/12/2023 serie 3 5283;Contratto per la concessione in uso gratuito del lotto n. 4 costituito da n. 4 immobili siti in via Cristina Belgioioso 2 ed in via del Mare 151, confiscati alla criminalita’ e trasferiti al patrimonio indisponibile del Comune di Milano. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;20.11.2023 19.11.2027;;marzo 2026
29;box;14 mq;via Belgioioso 2;8;7;123;47;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" finalizzata alla realizzazione del progetto dedicato all’accoglienza e ospitalità temporanea per adulti senza fissa dimora e/o in condizioni di grave marginalità";LA STRADA SOCIETA’ COOPERATIVA SOCIALE (Mandataria) Via G.B. Piazzetta n.2, 20139 Milano, C.F. 10969830156 in Associazione Temporanea di Scopo con ASSOCIAZIONE LA ROTONDA APS Via Merano n. 6,Baranzate (MI) C.F. 97556510150;;;;;;;marzo 2026
30;appart.;8 vani;via Bembo 23;9;41;126;1;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
31;box;10 mq;via Bembo 23;9;41;380;9;Scopi Sociali;;;;;;;;In attesa di prossimo bando;marzo 2026
32;locale comm.le;23 mq;via Bergognone 31;6;517;1;3;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;SOGGETTO PRIVATO;Repertorio n. 105188;Ag. Entrate MI 1 18/10/2018 serie 3T 23106;Contratto di Locazione Direzione Demanio;6+6;25.09.2018 24.09.2030;;marzo 2026
33;appart.;1,5 vani;via Bessarione 16;4;555;141;705;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";GESTIONE DIRETTA del Comune di Milano Welfare e Salute (convenzione con Rti Spazio Aperto Servizi Società Cooperativa Sociale/Fondazione Somaschi Onlus/Farsi Prossimo Onlus Società Cooperativa Sociale/La Strada Società Cooperativa Sociale);;Assegnato in concessione con DD n. 5734/2023 DEL 29/06/2023;Concessione d'uso gratuito a scopi sociali ;4;01.07.2023 30.06.2026 ;;marzo 2026
34;appart.;83;via Bessarione 29;4;555;314;10;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
35;appart.;8 vani;via Bianchi Mosè 71;7;302;233;14;Scopi Sociali;"Progetto "" CHEZ WILLIAMS"" Dalla Palestra di autonomia alla casa-residenza. Percorso intensivo di uscita dalla famiglia d’origine dei ragazzi con Sindrome di Williams o altre situazioni di disabilità psicofisiche(patologie neurologiche complesse). Una struttura a carattere residenziale temporaneo che fornisce ospitalità e assistenza ";Associazione Sindrome di Williams Via della Commenda 9 20122 Milano;Repertorio n. 106391;Ag. Entrate MI 1 15,12,2023 serie 3 X 3303;Rinnovo Contratto per la concessione in uso gratuito ad Associazione Famiglie Sindrome di Williams (ASFW) onlus dei locali di proprieta’ comunale confiscati alla criminalita’ siti in via mose’ bianchi 71 a milano Durata della concessione anni 4fino al 09.07.2027;4;10.07.2023 09.07.2027 ;;marzo 2026
36;appart.;3 vani;via Bianchi Mosè 93;7;302;46;12;Scopi Sociali;Progetto di accoglienza sociale di persone in condizioni di fragilità sociale e che stanno realizzando un percorso di reinserimento;Cooperativa Sociale Comunità del Giambellino Via Bellini Gentile 6 20146 Milano;Repertorio n. 106168;Ag. Entrate Milano1 12.01.2023 Serie 3 140;Contratto per la concessione in uso gratuito del lotto n. 2 costituito da n. 2 immobili siti in Milano in via Mose’ Bianchi 93, via dei Salici 43, confiscati alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano a Cooperativa Sociale Comunità del Giambellino. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;20.12.2022 19.12.2028;;marzo 2026
37;appart.;9,5 vani;via Bianco Mario 20;3;275;333;501;Scopi Sociali;Progetto di coabitazione tra anziani fragili a Milano L'obiettivo è promuovere l'inclusione sociale attraverso lo sviluppo e il mantenimento di una soddisfacente vita di relazione, contrastando solitudine e isolamento, una valorizzazione delle capacità, risorse e autonomia dell'anziano, con il riconoscimento del diritto dell'anziano a scegliere dove abitare. ;Comunità Sant’Egidio ACAP Onlus Sede Legale: Piazza Sant’Egidio 3.A 00153 Roma;Atti P.G. n. 595836/2009;Reg. Prot. DC Politiche Sociali 14.12.2009 467;Contratto per la concessione in uso gratuito alla Comunità di Sant'Egidio ACAP Onlus dei locali di proprietà comunale siti in via Bianco Mario 20 - Milano. Durata della concesione anni quindici (15) a far tempo dalla data di sottoscrizione del presente contratto;15;14.12.2009 13.12.2024;In corso nuovo Avviso per l'assegnazione ;marzo 2026
38;appart.;40,00;Via Bodio Luigi 18;9;186;30;65;Scopi Sociali;"GESTIONE DIRETTA ""AREA DIRITTI E INCLUSIONE PER FINALITA’ SOCIALI, DI EMERGENZA ABITATIVA ED ACCOGLIENZA IN SITUAZIONI DI FRAGILITÀ""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
39;appart.;163 mq;Via Boezio Severino 4;8;305;1;4;Scopi Sociali;Progetto “Casa Alice” Accoglienza mamma - bambino per offrire uno spazio sicuro e accogliente in cui donne con figli minori possano avviare o consolidare un percorso di autonomia;FONDAZIONE ARCHE' ONLUS Via Adeodato Ressi n. 23, 20125, Milano C.F. 97105280156;;In attesa di registrazione all' Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 3 costituito da una unità immobiliare sita in viale Boezio n. 4 - Milano, confiscata alla criminalità e trasferita al patrimonio indisponibile del comune di Milano a Fondazione Arché Onlus. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;11.01.2026 10.01.2034;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE ARCHE' ONLUS"", in attesa dei Controlli amministrativi in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
40;appart.;146 mq;Foro Bonaparte 68;1;347;44;701;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;;;;;;;In attesa di prossimo bando Direzione Demanio e Patrimonio;marzo 2026
41;locale comm.le;73 mq;viale Brianza 19;3;272;18;702;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
42;appart.;6 vani;viale Brianza 35;2;229;26;10;Scopi Sociali;Progetto Ulisse: l’autonomia abitativa di giovani adulti con disagio psichico. Le attività saranno essenzialmente finalizzate alla sperimentazione protetta e guidata per la promozione e il sostegno dell’autonomia abitativa a lungo termine di giovani adulti con disagio psichico e la possibilità di partecipare a percorsi di integrazione lavorativa e sociale.;Associazione Progetto Itaca Onlus Via Alessandro Volta 7.a 20121 Milano;Repertorio n. 105814;Ag. Entrate Mi 1 02/05/2021 Serie 3 4965;Rinnovo contratto per la concessione in uso gratuito all'associazione Progetto Itaca Milano dei locali di proprietà comunale siti in viale Brianza N. 35 - Milano.;6;09.06.2021 08.06.2027;;marzo 2026
43;box;14 mq;via Brusuglio 73;9;73;350;57;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unità immobiliari alla Fondazione Somaschi Onlus dei locali di proprietà comunale siti in Milano. Durata della concessione anni sei a far tempo dalla data della sottoscrizione del presente contratto.;6;17.07.2020 16.07.2026;;marzo 2026
44;appart.;5 vani;via Burlamacchi 7;4;528;153;11;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Soc. Coop. Sociale Spazio Aperto Servizi Onlus Via Gorki, 5 20146 Milano;Repertorio n. 106402;Ag. Entrate Mi 1 17/01/2024 Serie 3 X 179;Rinnovo temporaneo contratto per la concessione in uso gratuito a Spazio Aperto Servizi Società Cooperativa Sociale dei locali confiscati alla criminalità organizzata di proprietà comunale siti in via Burlamacchi n. 7. Durata della concessione: 6 (sei) mesi e comunque massimo fino alla determina di assegnazione dell’immobile a seguito di prossimo avviso pubblico;6 mesi;09.12.2023 08.06.2024 ;Durata della concessione: 6 mesi e comunque fino alla Determina di assegnazione a seguito di prossimo avviso pubblico;marzo 2026
45;appart.;4 vani;via Cambiasi 14/4;3;276;3;48;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
